Year,Winning team,Coach,Results,Losing team,Coach
1972,Los Angeles Lakers,Bill Sharman,4–1,New York Knicks,Red Holzman
1971,Milwaukee Bucks,Larry Costello,4–0,Baltimore Bullets,Gene Shue
1970,New York Knicks,Red Holzman,4–3,Los Angeles Lakers,Joe Mullaney
1969,Boston Celtics,Bill Russell,4–3,Los Angeles Lakers,Butch van Breda Kolff
1968,Boston Celtics,Bill Russell,4–2,Los Angeles Lakers,Butch van Breda Kolff
1967,Philadelphia 76ers,Alex Hannum,4–2,San Francisco Warriors,Bill Sharman
1966,Boston Celtics,Red Auerbach,4–3,Los Angeles Lakers,Fred Schaus
1965,Boston Celtics,Red Auerbach,4–1,Los Angeles Lakers,Fred Schaus
1964,Boston Celtics,Red Auerbach,4–1,San Francisco Warriors,Alex Hannum
1963,Boston Celtics,Red Auerbach,4–2,Los Angeles Lakers,Fred Schaus
1962,Boston Celtics,Red Auerbach,4–3,Los Angeles Lakers,Fred Schaus
1961,Boston Celtics,Red Auerbach,4–1,St. Louis Hawks,Paul Seymour
1960,Boston Celtics,Red Auerbach,4–3,St. Louis Hawks,Ed Macauley
1959,Boston Celtics,Red Auerbach,4–0,Minneapolis Lakers,John Kundla
1958,St. Louis Hawks,Alex Hannum,4–2,Boston Celtics,Red Auerbach
1957,Boston Celtics,Red Auerbach,4–3,St. Louis Hawks,Alex Hannum
1956,Philadelphia Warriors,George Senesky,4–1,Fort Wayne Pistons,Charles Eckman
1955,Syracuse Nationals,Al Cervi,4–3,Fort Wayne Pistons,Charles Eckman
1954,Minneapolis Lakers,John Kundla,4–3,Syracuse Nationals,Al Cervi
1953,Minneapolis Lakers,John Kundla,4–1,New York Knicks,Joe Lapchick
1952,Minneapolis Lakers,John Kundla,4–3,New York Knicks,Joe Lapchick
1951,Rochester Royals,Les Harrison,4–3,New York Knicks,Joe Lapchick
1950,Minneapolis Lakers,John Kundla,4–2,Syracuse Nationals,Al Cervi
1949,Minneapolis Lakers,John Kundla,4–2,Washington Capitols,Red Auerbach
1948,Baltimore Bullets,Buddy Jeannette,4–2,Philadelphia Warriors,Eddie Gottlieb
1947,Philadelphia Warriors,Eddie Gottlieb,4–1,Chicago Stags,Harold Olsen
